id,subject,level,unit,Chapter_Number,video_title,Subchapter_Number,question_type,question,options,correct_answer,hint,good_response,wrong_response,language,difficulty,tags,source_doc,created_at
CHEM_NSI_IntroductiontoChemistry_Q10_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,TrueFalse,"According to Charles’ Law, volume is directly proportional to absolute temperature at constant pressure.","[""True"", ""False""]",True,V∝T at constant P.,Exactly.,Review: V∝T at constant P.,English,easy,"[""gas laws"", ""charles""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223046
CHEM_NSI_IntroductiontoChemistry_Q10_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,ShortAnswer,"Using \(PV=nRT\): \(P=1.0\,\text{atm}, V=24.5\,\text{L}, T=298\,\text{K}\). Compute \(n\) (use \(R=0.08206\,\text{L atm mol}^{-1}\text{K}^{-1}\)).",[],≈ 1.00 mol,Rearrange: \(n=\frac{PV}{RT}\).,Nice work!,Compare with the expected form. Rearrange: \(n=\frac{PV}{RT}\).,English,easy,"[""ideal gas law""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223059
CHEM_NSI_IntroductiontoChemistry_Q13_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,medium,"[""thermochemistry"", ""enthalpy""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223093
CHEM_NSI_IntroductiontoChemistry_Q13_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,TrueFalse,"In endothermic processes, heat flows into the system from surroundings.","[""True"", ""False""]",True,Surroundings cool; system absorbs heat.,Exactly.,Review: Surroundings cool; system absorbs heat.,English,medium,"[""thermochemistry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223107
CHEM_NSI_IntroductiontoChemistry_Q13_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,ShortAnswer,"Using \(Q=mc\Delta T\), compute \(Q\) for \(m=50\,\text{g}, c=4.18\,\text{J g}^{-1}{}^{\circ}\text{C}^{-1}, \Delta T=10^{\circ}\text{C}\) in kJ.",[],≈ 2.09 kJ,Multiply then divide by \(1000\).,Nice work!,Compare with the expected form. Multiply then divide by \(1000\).,English,medium,"[""calorimetry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223119
CHEM_NSI_IntroductiontoChemistry_Q16_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,MCQ,Which bond is typically formed by electron transfer?,"[""Covalent bond"", ""Ionic bond"", ""Metallic bond"", ""Hydrogen bond""]",Ionic bond,Hint: Transfer forms ions that attract.,Correct! Transfer forms ions that attract.,Not quite. Hint: Transfer forms ions that attract.,English,medium,"[""bonding"", ""ionic""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223139
CHEM_NSI_IntroductiontoChemistry_Q16_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,TrueFalse,Polar covalent bonds arise from unequal sharing of electrons.,"[""True"", ""False""]",True,Electronegativity difference causes polarity.,Exactly.,Review: Electronegativity difference causes polarity.,English,medium,"[""bonding"", ""polarity""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223152
CHEM_NSI_IntroductiontoChemistry_Q16_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,ShortAnswer,Molar mass of \(H_2O\) (g/mol) to two decimals.,[],18.02,2(H:1.008)+O:16.00.,Nice work!,Compare with the expected form. 2(H:1.008)+O:16.00.,English,medium,"[""molar mass""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223165
CHEM_NSI_IntroductiontoChemistry_Q19_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,MCQ,Le Châtelier’s principle: increasing pressure shifts equilibrium toward the side with:,"[""more gas moles"", ""fewer gas moles"", ""no change"", ""solid phase""]",fewer gas moles,Hint: System counteracts the stress.,Correct! System counteracts the stress.,Not quite. Hint: System counteracts the stress.,English,medium,"[""equilibrium"", ""le chatelier""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223185
CHEM_NSI_IntroductiontoChemistry_Q19_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,TrueFalse,A solution with \(\text{pH}=3\) is acidic.,"[""True"", ""False""]",True,pH<7 indicates acidity.,Exactly.,Review: pH<7 indicates acidity.,English,medium,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223198
CHEM_NSI_IntroductiontoChemistry_Q19_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,ShortAnswer,"If \([H^+]=1.0\times10^{-4}\,\text{M}\), compute the pH.",[],4.00,Use \(\text{pH}=-\log[H^+]\).,Nice work!,Compare with the expected form. Use \(\text{pH}=-\log[H^+]\).,English,medium,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223210
CHEM_NSI_IntroductiontoChemistry_Q22_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,MCQ,"Boyle’s Law states for a fixed \(n,T\):","[""\\(PV=\\text{constant}\\)"", ""\\(\\frac{P}{T}=\\text{constant}\\)"", ""\\(\\frac{V}{T}=\\text{constant}\\)"", ""\\(P+V=\\text{constant}\\)""]",\(PV=\text{constant}\),Hint: Pressure inversely varies with volume.,Correct! Pressure inversely varies with volume.,Not quite. Hint: Pressure inversely varies with volume.,English,hard,"[""gas laws"", ""boyle""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223235
CHEM_NSI_IntroductiontoChemistry_Q22_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,TrueFalse,"According to Charles’ Law, volume is directly proportional to absolute temperature at constant pressure.","[""True"", ""False""]",True,V∝T at constant P.,Exactly.,Review: V∝T at constant P.,English,hard,"[""gas laws"", ""charles""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223250
CHEM_NSI_IntroductiontoChemistry_Q22_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,ShortAnswer,"Using \(PV=nRT\): \(P=1.0\,\text{atm}, V=24.5\,\text{L}, T=298\,\text{K}\). Compute \(n\) (use \(R=0.08206\,\text{L atm mol}^{-1}\text{K}^{-1}\)).",[],≈ 1.00 mol,Rearrange: \(n=\frac{PV}{RT}\).,Nice work!,Compare with the expected form. Rearrange: \(n=\frac{PV}{RT}\).,English,hard,"[""ideal gas law""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223268
CHEM_NSI_IntroductiontoChemistry_Q25_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,hard,"[""thermochemistry"", ""enthalpy""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223316
CHEM_NSI_IntroductiontoChemistry_Q25_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,TrueFalse,"In endothermic processes, heat flows into the system from surroundings.","[""True"", ""False""]",True,Surroundings cool; system absorbs heat.,Exactly.,Review: Surroundings cool; system absorbs heat.,English,hard,"[""thermochemistry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223330
CHEM_NSI_IntroductiontoChemistry_Q25_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,ShortAnswer,"Using \(Q=mc\Delta T\), compute \(Q\) for \(m=50\,\text{g}, c=4.18\,\text{J g}^{-1}{}^{\circ}\text{C}^{-1}, \Delta T=10^{\circ}\text{C}\) in kJ.",[],≈ 2.09 kJ,Multiply then divide by \(1000\).,Nice work!,Compare with the expected form. Multiply then divide by \(1000\).,English,hard,"[""calorimetry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223342
CHEM_NSI_IntroductiontoChemistry_Q28_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,MCQ,Which bond is typically formed by electron transfer?,"[""Covalent bond"", ""Ionic bond"", ""Metallic bond"", ""Hydrogen bond""]",Ionic bond,Hint: Transfer forms ions that attract.,Correct! Transfer forms ions that attract.,Not quite. Hint: Transfer forms ions that attract.,English,hard,"[""bonding"", ""ionic""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223360
CHEM_NSI_IntroductiontoChemistry_Q28_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,TrueFalse,Polar covalent bonds arise from unequal sharing of electrons.,"[""True"", ""False""]",True,Electronegativity difference causes polarity.,Exactly.,Review: Electronegativity difference causes polarity.,English,hard,"[""bonding"", ""polarity""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223373
CHEM_NSI_IntroductiontoChemistry_Q28_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,ShortAnswer,Molar mass of \(H_2O\) (g/mol) to two decimals.,[],18.02,2(H:1.008)+O:16.00.,Nice work!,Compare with the expected form. 2(H:1.008)+O:16.00.,English,hard,"[""molar mass""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223385
CHEM_NSI_IntroductiontoChemistry_Q31_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,MCQ,Le Châtelier’s principle: increasing pressure shifts equilibrium toward the side with:,"[""more gas moles"", ""fewer gas moles"", ""no change"", ""solid phase""]",fewer gas moles,Hint: System counteracts the stress.,Correct! System counteracts the stress.,Not quite. Hint: System counteracts the stress.,English,easy,"[""equilibrium"", ""le chatelier""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223402
CHEM_NSI_IntroductiontoChemistry_Q31_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,TrueFalse,A solution with \(\text{pH}=3\) is acidic.,"[""True"", ""False""]",True,pH<7 indicates acidity.,Exactly.,Review: pH<7 indicates acidity.,English,easy,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223415
CHEM_NSI_IntroductiontoChemistry_Q31_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,ShortAnswer,"If \([H^+]=1.0\times10^{-4}\,\text{M}\), compute the pH.",[],4.00,Use \(\text{pH}=-\log[H^+]\).,Nice work!,Compare with the expected form. Use \(\text{pH}=-\log[H^+]\).,English,easy,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223427
CHEM_NSI_IntroductiontoChemistry_Q34_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,MCQ,"Boyle’s Law states for a fixed \(n,T\):","[""\\(PV=\\text{constant}\\)"", ""\\(\\frac{P}{T}=\\text{constant}\\)"", ""\\(\\frac{V}{T}=\\text{constant}\\)"", ""\\(P+V=\\text{constant}\\)""]",\(PV=\text{constant}\),Hint: Pressure inversely varies with volume.,Correct! Pressure inversely varies with volume.,Not quite. Hint: Pressure inversely varies with volume.,English,easy,"[""gas laws"", ""boyle""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223444
CHEM_NSI_IntroductiontoChemistry_Q34_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,TrueFalse,"According to Charles’ Law, volume is directly proportional to absolute temperature at constant pressure.","[""True"", ""False""]",True,V∝T at constant P.,Exactly.,Review: V∝T at constant P.,English,easy,"[""gas laws"", ""charles""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223461
CHEM_NSI_IntroductiontoChemistry_Q34_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,ShortAnswer,"Using \(PV=nRT\): \(P=1.0\,\text{atm}, V=24.5\,\text{L}, T=298\,\text{K}\). Compute \(n\) (use \(R=0.08206\,\text{L atm mol}^{-1}\text{K}^{-1}\)).",[],≈ 1.00 mol,Rearrange: \(n=\frac{PV}{RT}\).,Nice work!,Compare with the expected form. Rearrange: \(n=\frac{PV}{RT}\).,English,easy,"[""ideal gas law""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223473
CHEM_NSI_IntroductiontoChemistry_Q37_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,easy,"[""thermochemistry"", ""enthalpy""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223492
CHEM_NSI_IntroductiontoChemistry_Q37_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,TrueFalse,"In endothermic processes, heat flows into the system from surroundings.","[""True"", ""False""]",True,Surroundings cool; system absorbs heat.,Exactly.,Review: Surroundings cool; system absorbs heat.,English,easy,"[""thermochemistry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223503
CHEM_NSI_IntroductiontoChemistry_Q37_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,ShortAnswer,"Using \(Q=mc\Delta T\), compute \(Q\) for \(m=50\,\text{g}, c=4.18\,\text{J g}^{-1}{}^{\circ}\text{C}^{-1}, \Delta T=10^{\circ}\text{C}\) in kJ.",[],≈ 2.09 kJ,Multiply then divide by \(1000\).,Nice work!,Compare with the expected form. Multiply then divide by \(1000\).,English,easy,"[""calorimetry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223515
CHEM_NSI_IntroductiontoChemistry_Q40_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,MCQ,Which bond is typically formed by electron transfer?,"[""Covalent bond"", ""Ionic bond"", ""Metallic bond"", ""Hydrogen bond""]",Ionic bond,Hint: Transfer forms ions that attract.,Correct! Transfer forms ions that attract.,Not quite. Hint: Transfer forms ions that attract.,English,easy,"[""bonding"", ""ionic""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223531
CHEM_NSI_IntroductiontoChemistry_Q40_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,TrueFalse,Polar covalent bonds arise from unequal sharing of electrons.,"[""True"", ""False""]",True,Electronegativity difference causes polarity.,Exactly.,Review: Electronegativity difference causes polarity.,English,easy,"[""bonding"", ""polarity""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223543
CHEM_NSI_IntroductiontoChemistry_Q40_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Definition & History,1.3,ShortAnswer,Molar mass of \(H_2O\) (g/mol) to two decimals.,[],18.02,2(H:1.008)+O:16.00.,Nice work!,Compare with the expected form. 2(H:1.008)+O:16.00.,English,easy,"[""molar mass""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223555
CHEM_NSI_MatterandEnergy_Q01_MCQ,Chemistry,NS I,Unit: Matter & Energy,2,Matter — Definition & Structure,2.1,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,easy,"[""thermochemistry"", ""enthalpy""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223573
CHEM_NSI_MatterandEnergy_Q01_TF,Chemistry,NS I,Unit: Matter & Energy,2,Matter — Definition & Structure,2.1,TrueFalse,"In endothermic processes, heat flows into the system from surroundings.","[""True"", ""False""]",True,Surroundings cool; system absorbs heat.,Exactly.,Review: Surroundings cool; system absorbs heat.,English,easy,"[""thermochemistry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223585
CHEM_NSI_MatterandEnergy_Q01_SA,Chemistry,NS I,Unit: Matter & Energy,2,Matter — Definition & Structure,2.1,ShortAnswer,"Using \(Q=mc\Delta T\), compute \(Q\) for \(m=50\,\text{g}, c=4.18\,\text{J g}^{-1}{}^{\circ}\text{C}^{-1}, \Delta T=10^{\circ}\text{C}\) in kJ.",[],≈ 2.09 kJ,Multiply then divide by \(1000\).,Nice work!,Compare with the expected form. Multiply then divide by \(1000\).,English,easy,"[""calorimetry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223596
CHEM_NSI_MatterandEnergy_Q04_MCQ,Chemistry,NS I,Unit: Matter & Energy,2,Matter — Definition & Structure,2.1,MCQ,Which bond is typically formed by electron transfer?,"[""Covalent bond"", ""Ionic bond"", ""Metallic bond"", ""Hydrogen bond""]",Ionic bond,Hint: Transfer forms ions that attract.,Correct! Transfer forms ions that attract.,Not quite. Hint: Transfer forms ions that attract.,English,easy,"[""bonding"", ""ionic""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223613
CHEM_NSI_MatterandEnergy_Q04_TF,Chemistry,NS I,Unit: Matter & Energy,2,Matter — Definition & Structure,2.1,TrueFalse,Polar covalent bonds arise from unequal sharing of electrons.,"[""True"", ""False""]",True,Electronegativity difference causes polarity.,Exactly.,Review: Electronegativity difference causes polarity.,English,easy,"[""bonding"", ""polarity""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223625
CHEM_NSI_MatterandEnergy_Q04_SA,Chemistry,NS I,Unit: Matter & Energy,2,Matter — Definition & Structure,2.1,ShortAnswer,Molar mass of \(H_2O\) (g/mol) to two decimals.,[],18.02,2(H:1.008)+O:16.00.,Nice work!,Compare with the expected form. 2(H:1.008)+O:16.00.,English,easy,"[""molar mass""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223636
CHEM_NSI_MatterandEnergy_Q07_MCQ,Chemistry,NS I,Unit: Matter & Energy,2,Forms of Energy,2.2,MCQ,Le Châtelier’s principle: increasing pressure shifts equilibrium toward the side with:,"[""more gas moles"", ""fewer gas moles"", ""no change"", ""solid phase""]",fewer gas moles,Hint: System counteracts the stress.,Correct! System counteracts the stress.,Not quite. Hint: System counteracts the stress.,English,easy,"[""equilibrium"", ""le chatelier""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223653
CHEM_NSI_MatterandEnergy_Q07_TF,Chemistry,NS I,Unit: Matter & Energy,2,Forms of Energy,2.2,TrueFalse,A solution with \(\text{pH}=3\) is acidic.,"[""True"", ""False""]",True,pH<7 indicates acidity.,Exactly.,Review: pH<7 indicates acidity.,English,easy,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223666
CHEM_NSI_MatterandEnergy_Q07_SA,Chemistry,NS I,Unit: Matter & Energy,2,Forms of Energy,2.2,ShortAnswer,"If \([H^+]=1.0\times10^{-4}\,\text{M}\), compute the pH.",[],4.00,Use \(\text{pH}=-\log[H^+]\).,Nice work!,Compare with the expected form. Use \(\text{pH}=-\log[H^+]\).,English,easy,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223677
CHEM_NSI_MatterandEnergy_Q10_MCQ,Chemistry,NS I,Unit: Matter & Energy,2,Forms of Energy,2.2,MCQ,"Boyle’s Law states for a fixed \(n,T\):","[""\\(PV=\\text{constant}\\)"", ""\\(\\frac{P}{T}=\\text{constant}\\)"", ""\\(\\frac{V}{T}=\\text{constant}\\)"", ""\\(P+V=\\text{constant}\\)""]",\(PV=\text{constant}\),Hint: Pressure inversely varies with volume.,Correct! Pressure inversely varies with volume.,Not quite. Hint: Pressure inversely varies with volume.,English,easy,"[""gas laws"", ""boyle""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223693
CHEM_NSI_MatterandEnergy_Q10_TF,Chemistry,NS I,Unit: Matter & Energy,2,Forms of Energy,2.2,TrueFalse,"According to Charles’ Law, volume is directly proportional to absolute temperature at constant pressure.","[""True"", ""False""]",True,V∝T at constant P.,Exactly.,Review: V∝T at constant P.,English,easy,"[""gas laws"", ""charles""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223705
CHEM_NSI_MatterandEnergy_Q10_SA,Chemistry,NS I,Unit: Matter & Energy,2,Forms of Energy,2.2,ShortAnswer,"Using \(PV=nRT\): \(P=1.0\,\text{atm}, V=24.5\,\text{L}, T=298\,\text{K}\). Compute \(n\) (use \(R=0.08206\,\text{L atm mol}^{-1}\text{K}^{-1}\)).",[],≈ 1.00 mol,Rearrange: \(n=\frac{PV}{RT}\).,Nice work!,Compare with the expected form. Rearrange: \(n=\frac{PV}{RT}\).,English,easy,"[""ideal gas law""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223716
CHEM_NSI_MatterandEnergy_Q13_MCQ,Chemistry,NS I,Unit: Matter & Energy,2,States of Matter & Changes,2.3,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,medium,"[""thermochemistry"", ""enthalpy""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223732
CHEM_NSI_MatterandEnergy_Q13_TF,Chemistry,NS I,Unit: Matter & Energy,2,States of Matter & Changes,2.3,TrueFalse,"In endothermic processes, heat flows into the system from surroundings.","[""True"", ""False""]",True,Surroundings cool; system absorbs heat.,Exactly.,Review: Surroundings cool; system absorbs heat.,English,medium,"[""thermochemistry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223744
CHEM_NSI_MatterandEnergy_Q13_SA,Chemistry,NS I,Unit: Matter & Energy,2,States of Matter & Changes,2.3,ShortAnswer,"Using \(Q=mc\Delta T\), compute \(Q\) for \(m=50\,\text{g}, c=4.18\,\text{J g}^{-1}{}^{\circ}\text{C}^{-1}, \Delta T=10^{\circ}\text{C}\) in kJ.",[],≈ 2.09 kJ,Multiply then divide by \(1000\).,Nice work!,Compare with the expected form. Multiply then divide by \(1000\).,English,medium,"[""calorimetry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223756
